,year,title,director,cast,genre,producer
1,2017,Pachaikili Parimala,Madhubalan,"Damodaran, Sakthishree",Erotic,Sethu Medias
2,2017,Peiyena Peiyum Kurudhi,Sudhakar Shanmugam,"Jana, Seenivasan, Harish, Ganeshan, Robin",Thriller,Lion Hunters Productions
3,2017,Soorathengai,Sanjeev Srinivas Kanna,"Arvind Vinod, Eugina Samanthi, Theni Murugan",Action masala,Maruthi Films International
4,2017,Unnai Thottu Kolla Vaa,Krishnakumar,"Powerstar Srinivasan, Livingston, Ganja Karuppu",Horror,Kavibharathi Creations
5,2017,Bairavaa,Bharathan,"Vijay, Keerthy Suresh, Sathish, Jagapati Babu, Daniel Balaji",Action masala,Vijaya Productions
6,2017,Koditta Idangalai Nirappuga,Parthiban,"Shanthanu Bhagyaraj, Parvatii Nair, Parthiban, Thambi Ramaiah",Comedy thriller,Reel Estate Company & Bioscope Film Frames
7,2017,Sivappu Enakku Pidikkum,Youreka,"Sandra Amy, Youreka",Drama,JSK Film Corporation & Youreka Film School
8,2017,Adhe Kangal,Rohin Venkatesan,"Kalaiyarasan, Sshivada, Janani Iyer, Bala Saravanan",Crime thriller,Thirukumaran Entertainment
9,2017,Bogan,Lakshman,"Jayam Ravi, Arvind Swamy, Hansika Motwani, Varun, Akshara Gowda",Supernatural thriller,Prabhu Deva Studios
10,2017,Enakku Vaaitha Adimaigal,Mahendran Rajamani,"Jai, Pranitha, Karunakaran, Kaali Venkat",Comedy,Vansan Movies
11,2017,Si3 ,Hari,"Suriya, Shruti Haasan, Anushka Shetty, Thakur Anoop Singh",Action masala,Studio Green
12,2017,Pragamiyam,Prathap,"Prathap, Parvathy, Subha",Drama,Steel Toe Productions
13,2017,Ennodu Vilayadu,Arun Krishnaswami,"Bharath, Kathir, Chandini Tamilarasan, Sanchita Shetty",Thriller drama,Toronto Reels & Reyan Studios
14,2017,Kadhal Kan Kattuthe,Shivaraj,"KG, Athulya, Aneeruth",Romance,Kovai Film Mates
15,2017,Pagadi Aattam,Ram K. Chandran,"Rahman, Akhil, Gowri Nandha",Thriller,Bharani Movies & Marram Movies
16,2017,Rum,Sai Bharath,"Hrishikesh, Sanchita Shetty, Narain, Miya",Horror,All In Pictures
17,2017,Kanavu Variyam,Arun Chidambaram,"Arun Chidambaram, Jiya Shankar, Yog Japee",Drama,DCKAP Cinemas
18,2017,Muthuramalingam,Rajadurai,"Gautham Karthik, Priya Anand, Napoleon",Action masala,Global Media Works
19,2017,Yaman,Jeeva Shankar,"Vijay Antony, Miya, Thiagarajan",Political thriller,Lyca Productions & Vijay Antony Film Corporation
20,2017,Kuttram 23,Arivazhagan,"Arun Vijay, Mahima Nambiar, Aravind Akash, Vamsi Krishna",Crime thriller,Ice Entertainment & Redan Studios
21,2017,Mupparimanam,Adhirooban,"Shanthanu Bhagyaraj, Srushti Dange, Skanda Ashok",Romantic thriller,Shamayalaya Creations
22,2017,Yaakkai,Kuzhandai Velappan,"Kreshna, Swathi Reddy, Prakash Raj, Guru Somasundaram",Romantic thriller,Prim Pictures
23,2017,Motta Shiva Ketta Shiva,Sai Ramani,"Raghava Lawrence, Nikki Galrani, Sathyaraj, Ashutosh Rana",Action masala,Super Good Films
24,2017,Maanagaram,Lokesh Kanagaraj,"Sundeep Kishan, Sri, Regina Cassandra, Ramdoss",Action thriller,Potential Studios
25,2017,Nisabdham,Michael Arun,"Ajay, Abhinaya, Kishore, Sathanya",Drama,Miracle Pictures
26,2017,Bruce Lee,Prashanth Pandiraj,"G. V. Prakash Kumar, Kriti Kharbanda, Bala Saravanan",Comedy,Kenanya Films & PK Film Factory
27,2017,Kanna Pinna,Thiya Nair,"Thiya Nair, Anjali Rao, Shiva",Comedy,SS Big Cinemas & Mehak Production
28,2017,Kattappava Kanom,Mani Seiyon,"Sibi Sathyaraj, Aishwarya Rajesh, Chandini Tamilarasan",Comedy,WindChimes Media Entertainments
29,2017,Oru Mugathirai,R. Senthilnadan,"Rahman, Suresh, Aditi Gururaj",Thriller,Sree Sai Vignesh Studios
30,2017,Vaanga Vaanga,N. P. Ismail,"Vicky, Shreya Sri, Niveditha, Powerstar Srinivasan, Appukutty",Horror comedy,Friends Pictures
31,2017,1 A.M,Rahul,"Mohan, Sasvatha",Horror,RPM Cinemas & MPM Productions
32,2017,Sai Sathyam,"Karthik Raj, Niranjana",Horror,LPS Films,"[47]
"
33,2017,Dhayam,Kannan Rangaswamy,"Santhosh Prathap, Jayakumar, Iraa Agarwal, Aanchal Singh",Thriller,Future Film Factory International
34,2017,Enkitta Mothathe,Ramu Chellappa,"Natty, Rajaji, Sanchita Shetty, Parvathy Nair",Action masala,KV Films & Eros International
35,2017,Kadugu,Vijay Milton,"Bharath, Rajakumaran, Subiksha, Radhika Prasidhha",Drama,Rough Note Production & Sakthi Film Factory
36,2017,Paambhu Sattai,Adam Dasan,"Bobby Simha, Keerthy Suresh, Muktha",Action thriller,Manobala's Picture House & Cinema City
37,2017,Vaigai Express,Shaji Kailas,"R. K., Neetu Chandra, Iniya, Komal Sharma",Crime thriller,Makkal Paasarai
38,2017,Arasakulam,Kumar Maaran,"Rathan Mouli, Nayana Nair, Rajashree",Action masala,BR Sain Films
39,2017,Attu,Rathan Linga,"Rishi Rithvik, Archana Ravi, Yogi Babu",Action drama,Studio 9 & Dream Icon Film Production
40,2017,Dora,Doss Ramasamy,"Nayanthara, Sulile Kumar, Harish Uthaman, Thambi Ramaiah",Horror,A Sarkunam Cinemaz & Nemichand Jabak Productions
41,2017,Kavan,K. V. Anand,"Vijay Sethupathi, Madonna Sebastian, T. Rajendar, Vikranth",Social thriller,AGS Entertainment
42,2017,Naalu Perukku Nallathunna Ethuvum Thappila,Dinesh Selvaraj,"Karthik Raj, Shariya, Jagadeesh Kanna, Evansree",Action,Alpha Studios
43,2017,Sevili,R. Ananth,"Arvind Roshan, Krithi Shetty, Shakeela",Romance,MKM Films
44,2017,8 Thottakkal,Sri Ganesh,"Vetri, Aparna Balamurali, Nassar, M. S. Bhaskar",Crime thriller,Vetrivel Saravana Cinemas & Big Print Pictures Production & Sakthi Film Factory
45,2017,Julieum 4 Perum,Satheesh Kumar,"Amudhavanan, George, Yoganand, Satheesh Kumar, Alya Mansa",Comedy,Sahana Studios
46,2017,Kaatru Veliyidai,Mani Ratnam,"Karthi, Aditi Rao Hydari",Romance,Madras Talkies
47,2017,Senjittale En Kadhala,Ezhil Durai,"Ezhil Durai, Madhumila, Abhinaya",Romance,SB Entertainment
48,2017,Viruthachalam,Rathan Ganapathy,"Virudhagiri, Swetha, Sameera, Shireen Taha",Masala,Lakshmi Ammal Films
49,2017,Kadamban,Ragavan,"Arya, Catherine Tresa, Deepraj Rana",Action,Super Good Films
50,2017,Pa Paandi,Dhanush,"Rajkiran, Prasanna, Chaya Singh, Revathi",Drama,Wunderbar Films & K Productions
51,2017,Shivalinga,P. Vasu,"Raghava Lawrence, Ritika Singh, Shakthi, Vadivelu",Horror masala,Trident Arts
52,2017,Ilai,Binish Raj,"Swathy Narayanan, Jenish, Sujeeth",Drama,Action Reaction Productions
53,2017,Nagarvalam,Marxx,"Yuthan Balaji, Deekshitha Manikkam, Bala Saravanan",Romantic thriller,Redcarpet Production
54,2017,Ayyanar Veethi,Gipsy N. Rajkumar,"Yuvan, Sara Shetty, K. Bhagyaraj, Ponvannan, Chinchu Mohan",Drama,Sri Sai Shanmugar Pictures
55,2017,Baahubali: The Conclusion,S. S. Rajamouli,"Prabhas, Anushka Shetty, Rana Daggubati, Sathyaraj",Fantasy,Arka Media Works & K Productions
56,2017,Aarambamae Attakasam,Ranga,"Lollu Sabha Jeeva, Sangeetha Bhat, Pandiarajan, Vaiyapuri",Romantic comedy,Swathi Film Circuit
57,2017,Enga Amma Rani,Baani,"Dhansika, Varnika, Varsha",Horror drama,MK Films
58,2017,Saaya,V. S. Pazhanivel,"Sonia Agarwal, Santhosh Khanna, Gayatri Rema",Horror drama,Amma Appa Cine Pictures
59,2017,Lens,Jayaprakash Radhakrishnan,"Jayaprakash Radhakrishnan, Misha Ghoshal, Aswathy Lal",Thriller drama,Grassroot Film Company & Mini Studio
60,2017,Mangalapuram,R. Gopal,"Yathavan, Gayathri, Delhi Ganesh, Ajay Rathnam",Horror drama,Sri Angalamman Movies
61,2017,Saravanan Irukka Bayamaen,Ezhil,"Udhayanidhi Stalin, Regina Cassandra, Soori, Srushti Dange",Comedy,Red Giant Movies
62,2017,Thirappu Vizha,K. G. Veeramani,"Jeya Anand, Manisha Jith, Manobala",Drama,Infar Films
63,2017,Yeidhavan,Sakthi Rajasekaran,"Kalaiyarasan, Satna Titus, Vela Ramamoorthy",Action thriller,Friends Festival Films
64,2017,Inayathalam,Shankar & Suresh,"Ganesh Venkatraman, Swetha Menon, Erode Mahesh",Crime thriller,Anugraha Art Films
65,2017,Indira Kobai,Vijay T. Alexander,"Raju, Asha Latha, Vikki",Drama,A Na Aayum Creations
66,2017,Keikraan Meikkiran,Sam Immanuel,"Sabapathy, Lughna Ameer, Aadukalam Naren",Romantic comedy,Aswika Creations
67,2017,Sangili Bungili Kadhava Thorae,Ike Radha,"Jiiva, Sri Divya, Soori, Raadhika",Horror comedy,Fox Star Studios & A for Apple Production
68,2017,Veera Vamsam,Bhagavathi Bala,"Selva, Anitha, Radha Ravi",Action masala,Sri Periya Nayagi Amman Films
69,2017,Brindavanam,Radha Mohan,"Arulnithi, Tanya, Vivek",Comedy drama,Vansan Movies
70,2017,Thondan,Samuthirakani,"Vikranth, Samuthirakani, Sunaina",Drama,Vasundara Devi Cine Films
71,2017,7 Naatkal,Gautham,"Shakthi, Nikesha Patel, Ganesh Venkatraman, Angana Roy",Crime thriller,Million Dollar Movies
72,2017,Bongu,Taj,"Natarajan Subramaniam, Ruhi Singh, Manisha Shree",Heist thriller,RT Infinity Deal Entertainment
73,2017,Munnodi,S. P. T. A. Kumar,"Harish, Yamini Bhaskar, Sijoy Varghese, Suja Varunee",Masala,Swastik Cine Vision
74,2017,Neethan Raja,Niranjan,"Niranjan, Gayathri, Leema",Drama,Ranjanee Cinemas
75,2017,Oru Iyakkunarin Kadhal Diary,Velu Prabhakaran,"Velu Prabhakaran, Pon Swathi",Romance,JK Studios
76,2017,Oru Kidayin Karunai Manu,Suresh Sangaiah,"Vidharth, Raveena Ravi",Comedy drama,Eros International
77,2017,Tubelight,Indra,"Indra, Adithi Krishna, Pandiarajan",Comedy,Ostrich Films
78,2017,Vilayattu Aarambam,"Vijay R. Anand,A. R. Surriyan","Yuvan, Shravya, Riyaz Khan, Srinivasan",Action thriller,Mag5 Studios
79,2017,Rangoon,Rajkumar Periasamy,"Gautham Karthik, Sana Makbul",Crime thriller,ARM Productions & Fox Star Studios
80,2017,Sathriyan,S. R. Prabhakaran,"Vikram Prabhu, Manjima Mohan, Aishwarya Dutta",Action drama,Sathya Jyothi Films
81,2017,Peechankai,Ashok,"R. S. Karthik, Anjali Rao, Vivek Prasanna, M. S. Bhaskar",Comedy,Karsa entertainment
82,2017,Maragadha Naanayam,A. R. K. Saravan,"Aadhi, Nikki Galrani",Fantasy adventure comedy,Axess Film Factory
83,2017,Thangaratham,P. Balamurugan,"Vettrii, Adithi Krishna, Rajendran, Aadukalam Naren",Drama,NTC Media & V Care Productions
84,2017,Uru,Vicky Anand,"Kalaiyarasan, Dhansika, Mime Gopi",Crime thriller,Vaiyam Medias
85,2017,Veruli,P. Amudhavanan,"Abhishek Vinod, Archana Singh, Bhagyaraj",Thriller drama,PG Media Works
86,2017,Anbanavan Asaradhavan Adangadhavan,Adhik Ravichandran,"Silambarasan, Tamannaah, Shriya Saran",Masala,Global Infotainment
87,2017,Salaam,Ravi Rahul,"Ravi Rahul, Sampath",Romantic drama,Ranjana Films
88,2017,Vanamagan,A. L. Vijay,"Jayam Ravi, Sayyeshaa Saigal, Prakash Raj, Varun",Action adventure,Think Big Studio & Kona Film Corporation
89,2017,Adhagappattathu Magajanangalay,Inbasekhar,"Umapathy Ramaiah, Reshma Rathore, Karunakaran",Comedy thriller,Silver Screen Studios
90,2017,Engeyum Naan Iruppen,Benny Thomas,"Prajin, Kala Kalyani",Romantic thriller,Liya Film Company
91,2017,Ivan Thanthiran,R. Kannan,"Gautham Karthik, Shraddha Srinath, RJ Balaji",Comedy drama,Masala Pix
92,2017,Ivan Yaarendru Therikiratha,S. T. Suresh Kumar,"Vishnu, Varsha Bollamma, Ishaara Nair, K. Bhagyaraj",Romantic comedy,Own Cinemas
93,2017,Kaadhal Kaalam,G. A. Somasundhara,"Chandru, Nithya Shetty, Jangiri Madhumitha",Romantic drama,Tamil Kodi Films
94,2017,Yaanum Theeyavan,Prashanth G. Sekar,"Ashwin Jerome, Varsha Bollamma, Raju Sundaram",Crime thriller,Peppy Cinemas
95,2017,Yevanavan,Natty Kumar,"Akil, Nayana, Sonia Agarwal, Vincent Asokan",Crime drama,B & B Entertainments
96,2017,Gemini Ganeshanum Suruli Raajanum,Odam Ilavarasu,"Atharvaa, Regina Cassandra, Aishwarya Rajesh, Pranitha, Aaditi Pohankar",Romantic comedy,Amma Creations
97,2017,Niranjana,Pandi Arunachalam,"Kishore Dev, Bharadha Naidu, Gayathiri",Horror,Narendra Movies
98,2017,Pandigai,Feroz,"Kreshna, Anandhi, Nithin Sathya",Action thriller,Tea Time Talks Production
99,2017,Rubaai,M. Anbazhagan,"Chandran, Anandhi, Chinni Jayanth",Thriller drama,God Pictures
100,2017,Thiri,S. Ashok Amritharaj,"Ashwin Kakumanu, Swathi Reddy, Jayaprakash, Karunakaran",Action drama,Oxygen Cinemas and Sea Shore Gold Productions
101,2017,(88)Enbathettu,Madhan,"Madhan, Upasana RC, Jayaprakash, Daniel Balaji",Action drama,JK Movie Makers
102,2017,Meesaya Murukku,Hiphop Tamizha,"Hiphop Tamizha, Aathmika, Vivek, RJ Vigneshkanth, Vijayalakshmi",Musical drama,Avni Movies
103,2017,Paakanum Pola Irukku,S. P. Rajkumar,"Bharathan, Ansiba Hassan, Soori, Ganja Karuppu",Romantic comedy,FCS Creations
104,2017,Savarikkadu,M. N. Krishnakumar,"Rajapandi, Renuka, Swathi Shanmugam, Soori",Thriller drama,Annai Teresa Films
105,2017,Vikram Vedha,Pushkar-Gayathri,"R. Madhavan, Vijay Sethupathi, Varalaxmi Sarathkumar, Shraddha Srinath, Kathir",Crime thriller,Y NOT Studios
