,year,title,director,cast,genre,producer
1,2020,Anantha Veedu,Sugumaran,"Sugumaran, Shivayam, Nagarajan",null,Nila Movie Makers
2,2020,Ayya Ullen Ayya,Erode Soundar,"Kabilesh, Prarthana Sandeep, Livingston, Manobala",null,Veera Sri Santhana Karuparayan
3,2020,En Sangathu Aala Adichavan Evanada,Naveen Manikandan,"Vikkas, Madhumitha, Ramar, Udayabhanu",null,SH Media Dreams
4,2020,Kadhal Vizhigal,Sri Sumathy,"Jayabalan, Sri Sumathy",null,Sri Sumathy
5,2020,Pachai Vilakku,Maran,"Maran, Theesha, Imman Annachi, Manobala",null,Digithink Mediawork
6,2020,Pizhai,Rajavel Krishnaa,"Kakka Muttai Ramesh, Appa Nasath, Mime Gopi, Charle",null,Turning Point Productions
7,2020,Thedu,Suci Easwar,"Sanjay, Meghana, Sivakasi Murgesan, Kamaraj",null,Kishore Cine Arts
8,2020,Thottu Vidum Thooram,V. P. Nageswaran,"Vivek Raj, Monica Chinnakotla, Livingston, Seetha",null,Usha Cine Creations
9,2020,Darbar,AR Murugadoss,"Rajinikanth, Nayanthara, Nivetha Thomas, Suniel Shetty",null,Lyca Productions
10,2020,Pattas,R. S. Durai Senthilkumar,"Dhanush, Sneha, Mehreen Pirzada, Naveen Chandra",null,Sathya Jyothi Films
11,2020,Psycho,Mysskin,"Udhayanidhi Stalin, Aditi Rao Hydari, Nithya Menen",null,Double Meaning Production
12,2020,Rajavukku Check,Sai Rajkumar,"Cheran, Srushti Dange, Sarayu Mohan, Nandana Varma",null,Pallatte Kokkatt Film House
13,2020,Taana,Yuvaraj Subramani,"Vaibhav, Nandita Swetha, Yogi Babu",null,Nobel Movies Production
14,2020,Dagaalty,Vijay Anand,"Santhanam, Rittika Sen, Yogi Babu",null,Hand Made Films
15,2020,Maayanadhi,Ashok Thiagarajan,"Abi Saravanan, Venba, Aadukalam Naren",null,Raji Nila Mukil Films
16,2020,Utraan,O. Rajagajini,"Roshan Udayakumar, Heroshini Komali, Priyanka Nair",null,Sat Cinemas
17,2020,Vanmurai,Manjith Divakar,"R. K. Suresh, Vinoth Kishan, Charmila, Vigil Varhese",null,Arya Aadhi International Movies
18,2020,Naadodigal 2,Samuthirakani,"Sasikumar, Anjali, Athulya Ravi",null,Madras Enterprises
19,2020,Adavi,G. Ramesh,"Vinoth Kishan, Ammu Abirami, Attapadi Radhakrishnan",null,Shri Krish Pictures
20,2020,Pulikodi Devan,S. P. Raaj Prabhu,"V. Krishnaswamy, Amala Maria",null,Chozha Nadu Talkies
21,2020,Sandimuni,Milka S. Selvakumar,"Natty, Manisha Yadav, Yogi Babu",null,Sivam Media Works
22,2020,Seeru,Rathina Siva,"Jiiva, Riya Suman, Gayathri Krishnaa, Navdeep",null,Vels Film International
23,2020,Vaanam Kottattum,Dhana,"Sarathkumar, Radhika, Vikram Prabhu, Aishwarya Rajesh",null,Madras Talkies
24,2020,Jasmine,Jegansaai,"Anicka Vikhraman, Dravidan, Elango Ponniah",null,Sri Sivaji Cinemas
25,2020,Day Knight,N. K. Kandi,"Aadarsh, Finny Mathew, Vipin Thomas",null,Futurz International
26,2020,Naan Sirithaal,Raana,"Hiphop Tamizha, Iswarya Menon",null,Avni Movies
27,2020,Oh My Kadavule,Ashwath Marimuthu,"Ashok Selvan, Ritika Singh, Vani Bhojan",null,Axess Film Factory
28,2020,Baaram,Priya Krishnaswamy,"Raju, Stella Gobi",null,Reckless Roses
29,2020,God Father,Jegan Rajshekar,"Natty, Lal, Ananya",null,GS Arts
30,2020,Kutty Devathai,K. Alexander,"Chozhavendhan, Teja Reddy, Vela Ramamoorthy",null,Jai Shakthi Movies
31,2020,Kanni Maadam,Bose Venkat,"Sriram Karthick, Saya Devi, Murugadoss, Mime Gopi",null,MSM Movie Traders
32,2020,Mafia: Chapter 1,Karthick Naren,"Arun Vijay, Priya Bhavani Shankar, Prasanna",null,Lyca Productions
33,2020,Meendum Oru Mariyathai,Bharathiraja,"Bharathiraja, Nakshatra",null,Manoj Creations
34,2020,Draupathi,Mohan G,"Richard Rishi, Sheela Rajkumar, Karunas",null,GM Film Corporation
35,2020,Galtha,S. Hari Uthraa,"Antony Sagayaraj, Siva Nishanth, Ayraa Jain, Appukutty",null,Malar Movie Makers
36,2020,Irumbu Manithan,Disney,"Santhosh Prathap, Archana, Ganja Karuppu",null,Shankar Movies International
37,2020,Kadalil Kattumaramai,Yuvraj Munish,"Rakshan, Rithika, Elaya, Latha Sai",null,SB Shoba Movies
38,2020,Kannum Kannum Kollaiyadithaal,Desingh Periyasamy,"Dulquer Salmaan, Ritu Varma, Rakshan, Niranjani",null,Anto Joseph Film Company
39,2020,College Kumar,Hari Santhosh,"Prabhu, Rahul Vijay, Priya Vadlamani, Madhoo",null,M. R. Pictures
40,2020,Ettuthikkum Para,Keera,"Samuthirakani, Chandini Tamilarasan, Nitish Veera",null,Varnalaya Cine Creations
41,2020,Gypsy,Raju Murugan,"Jiiva, Natasha Singh, Sunny Wayne",null,Olympia Movies
42,2020,Indha Nilai Maarum,Arunkanth,"Ramkumar, Ashwin Kumar, Nivedhithaa Sathish",null,Panthalam Cinemas
43,2020,Velvet Nagaram,Manojkumar Natarajan,"Varalaxmi Sarathkumar, Ramesh Thilak",null,Makers Studios
44,2020,Asuraguru,A. Rajdeep,"Vikram Prabhu, Mahima Nambiar",null,JSB Film Studios
45,2020,Dharala Prabhu,Krishna Marimuthu,"Harish Kalyan, Tanya Hope, Vivek",null,Screen Scene Media Entertainment
46,2020,Kayiru,Ganesh,"S. R. Gunaa, Kavya Madhav, Cheranraj",null,Skyway Pictures
47,2020,Thanchamada Nee Yenakku,M. Charle,"Dileep Poonthura, Binees Baskar, Tiger Khan",null,RM Real Media
48,2020,Walter,U. Anbarasan,"Sibiraj, Shirin Kanchwala, Samuthirakani",null,11:11 Productions (P) Ltd
49,2020,Sethum Aayiram Pon,Anand Ravichandran,"Srilekha Rajendran, Nivedhithaa Sathish, Avinash Raghudevan",null,Wishberry Films
50,2020,Ponmagal Vandhal,J. J. Frederick,"Jyothika, Parthiban, K. Bhagyaraj",null,"2D Entertainment, Prime Video"
51,2020,Mamakiki,Shree KarthickG. RadhakrishnanSameer Bharath RamKarthik SivaVadivel,"Preetha Anandan, Ramesh Thilak, Dev",null,"Super Talkies, ZEE5"
52,2020,Penguin,Eashvar Karthic,"Keerthy Suresh, Linga, Madhampatty Rangaraj",null,"Stone Bench Films, Passion Studios, Prime Video"
53,2020,Yaadhumagi Nindraai,Gayathri Raguram,"Gayathri Raguram, Nivas Adithan, Sindhu Krishnan",null,"Suja Movies, ZEE5"
54,2020,Cocktail,Vijaya Murugan,"Yogi Babu, Mithun Maheswaran, KPY Bala, Kawin",null,"PG Media Works, ZEE5"
55,2020,Danny,LC Santhanamoorthy,"Varalaxmi Sarathkumar, Vela Ramamoorthy",null,PG Mediaworks
56,2020,Lock Up,SG Charles,"Vaibhav, Vani Bhojan, Venkat Prabhu",null,Shvedh Group
57,2020,4 January,null,null,null,null
58,2019,Devakottai Kadhal,A. R. Kashim,"Seenu, Suvitha, Ganja Karuppu",null,Abbas Movie Line
59,2019,Maanik,Martyn,"Ma Ka Pa Anand, Suza Kumar, Yogi Babu",null,Mohita Cine Talkies
60,2019,Sigai,Jagadeesan Subu,"Kathir, Raj Bharath, Meera Nair",null,Divine Studios
61,2019,Petta,Karthik Subbaraj,"Rajinikanth, Vijay Sethupathi, Trisha, Simran, Nawazuddin Siddiqui",null,Sun Pictures
62,2019,Viswasam,Siva,"Ajith Kumar, Nayanthara, Jagapathi Babu",null,Sathya Jyothi Films
