,year,title,director,cast,genre,producer,link,music
0,2020,Anantha Veedu,Sugumaran,"Sugumaran, Shivayam, Nagarajan",,Nila Movie Makers,,
1,2020,Ayya Ullen Ayya,Erode Soundar,"Kabilesh, Prarthana Sandeep, Livingston, Manobala",,Veera Sri Santhana Karuparayan,,
2,2020,En Sangathu Aala Adichavan Evanada,Naveen Manikandan,"Vikkas, Madhumitha, Ramar, Udayabhanu",,SH Media Dreams,,
3,2020,Kadhal Vizhigal,Sri Sumathy,"Jayabalan, Sri Sumathy",,Sri Sumathy,,
4,2020,Pachai Vilakku,Maran,"Maran, Theesha, Imman Annachi, Manobala",,Digithink Mediawork,/wiki/Pachai_Vilakku_(2020_film),
5,2020,Pizhai,Rajavel Krishnaa,"Kakka Muttai Ramesh, Appa Nasath, Mime Gopi, Charle",,Turning Point Productions,/wiki/Pizhai,FS Faizal
6,2020,Thedu,Suci Easwar,"Sanjay, Meghana, Sivakasi Murgesan, Kamaraj",,Kishore Cine Arts,/wiki/Thedu,DJ Gopinath
7,2020,Thottu Vidum Thooram,V. P. Nageswaran,"Vivek Raj, Monica Chinnakotla, Livingston, Seetha",,Usha Cine Creations,,
8,2020,Darbar,AR Murugadoss,"Rajinikanth, Nayanthara, Nivetha Thomas, Suniel Shetty",,Lyca Productions,/wiki/Darbar_(film),
9,2020,Pattas,R. S. Durai Senthilkumar,"Dhanush, Sneha, Mehreen Pirzada, Naveen Chandra",,Sathya Jyothi Films,/wiki/Pattas,"Vivek,Mervin"
10,2020,Psycho,Mysskin,"Udhayanidhi Stalin, Aditi Rao Hydari, Nithya Menen",,Double Meaning Production,/wiki/Psycho_(2019_film),
11,2020,Rajavukku Check,Sai Rajkumar,"Cheran, Srushti Dange, Sarayu Mohan, Nandana Varma",,Pallatte Kokkatt Film House,/wiki/Rajavukku_Check,Vinod Yajamanya
12,2020,Taana,Yuvaraj Subramani,"Vaibhav, Nandita Swetha, Yogi Babu",,Nobel Movies Production,/wiki/Taana_(film),
13,2020,Dagaalty,Vijay Anand,"Santhanam, Rittika Sen, Yogi Babu",,Hand Made Films,/wiki/Dagaalty,Vijay Narain
14,2020,Maayanadhi,Ashok Thiagarajan,"Abi Saravanan, Venba, Aadukalam Naren",,Raji Nila Mukil Films,/wiki/Maayanadhi,Bhavatharini
15,2020,Utraan,O. Rajagajini,"Roshan Udayakumar, Heroshini Komali, Priyanka Nair",,Sat Cinemas,/wiki/Utraan,N. R. Raghunanthan
16,2020,Vanmurai,Manjith Divakar,"R. K. Suresh, Vinoth Kishan, Charmila, Vigil Varhese",,Arya Aadhi International Movies,/wiki/Vanmurai,Sunny Viswanath
17,2020,Naadodigal 2,Samuthirakani,"Sasikumar, Anjali, Athulya Ravi",,Madras Enterprises,/wiki/Naadodigal_2,Justin Prabhakaran
18,2020,Adavi,G. Ramesh,"Vinoth Kishan, Ammu Abirami, Attapadi Radhakrishnan",,Shri Krish Pictures,/wiki/Adavi_(film),
19,2020,Pulikodi Devan,S. P. Raaj Prabhu,"V. Krishnaswamy, Amala Maria",,Chozha Nadu Talkies,,
20,2020,Sandimuni,Milka S. Selvakumar,"Natty, Manisha Yadav, Yogi Babu",,Sivam Media Works,/wiki/Sandimuni,A K. Rishalsai
21,2020,Seeru,Rathina Siva,"Jiiva, Riya Suman, Gayathri Krishnaa, Navdeep",,Vels Film International,/wiki/Seeru,D. Imman
22,2020,Vaanam Kottattum,Dhana,"Sarathkumar, Radhika, Vikram Prabhu, Aishwarya Rajesh",,Madras Talkies,/wiki/Vaanam_Kottattum,"Sid Sriram,Sid Sriram,composer"
23,2020,Jasmine,Jegansaai,"Anicka Vikhraman, Dravidan, Elango Ponniah",,Sri Sivaji Cinemas,,
24,2020,Day Knight,N. K. Kandi,"Aadarsh, Finny Mathew, Vipin Thomas",,Futurz International,,
25,2020,Naan Sirithaal,Raana,"Hiphop Tamizha, Iswarya Menon",,Avni Movies,/wiki/Naan_Sirithaal,Hiphop Tamizha
26,2020,Oh My Kadavule,Ashwath Marimuthu,"Ashok Selvan, Ritika Singh, Vani Bhojan",,Axess Film Factory,/wiki/Oh_My_Kadavule,"Leon James,composer,Leon James"
27,2020,Baaram,Priya Krishnaswamy,"Raju, Stella Gobi",,Reckless Roses,/wiki/Baaram,
28,2020,God Father,Jegan Rajshekar,"Natty, Lal, Ananya",,GS Arts,/wiki/God_Father_(2020_film),
29,2020,Kutty Devathai,K. Alexander,"Chozhavendhan, Teja Reddy, Vela Ramamoorthy",,Jai Shakthi Movies,,
30,2020,Kanni Maadam,Bose Venkat,"Sriram Karthick, Saya Devi, Murugadoss, Mime Gopi",,MSM Movie Traders,/wiki/Kanni_Maadam,Hari Sai
31,2020,Mafia: Chapter 1,Karthick Naren,"Arun Vijay, Priya Bhavani Shankar, Prasanna",,Lyca Productions,/wiki/Mafia:_Chapter_1,Jakes Bejoy
32,2020,Meendum Oru Mariyathai,Bharathiraja,"Bharathiraja, Nakshatra",,Manoj Creations,/wiki/Meendum_Oru_Mariyathai,"N. R. Raghunanthan,Sharran Surya,Yuvan Shankar Raja,Sabesh,Murali"
33,2020,Draupathi,Mohan G,"Richard Rishi, Sheela Rajkumar, Karunas",,GM Film Corporation,/wiki/Draupathi_(2020_film),
34,2020,Galtha,S. Hari Uthraa,"Antony Sagayaraj, Siva Nishanth, Ayraa Jain, Appukutty",,Malar Movie Makers,/wiki/Galtha,K Jai Krish
35,2020,Irumbu Manithan,Disney,"Santhosh Prathap, Archana, Ganja Karuppu",,Shankar Movies International,/wiki/Irumbu_Manithan,K.S.Manoj
36,2020,Kadalil Kattumaramai,Yuvraj Munish,"Rakshan, Rithika, Elaya, Latha Sai",,SB Shoba Movies,,
37,2020,Kannum Kannum Kollaiyadithaal,Desingh Periyasamy,"Dulquer Salmaan, Ritu Varma, Rakshan, Niranjani",,Anto Joseph Film Company,/wiki/Kannum_Kannum_Kollaiyadithaal,"Soundtrack,Masala Coffee,Harshavardhan Rameshwar"
38,2020,College Kumar,Hari Santhosh,"Prabhu, Rahul Vijay, Priya Vadlamani, Madhoo",,M. R. Pictures,/wiki/College_Kumar_(2020_film),Arjun Janya
39,2020,Ettuthikkum Para,Keera,"Samuthirakani, Chandini Tamilarasan, Nitish Veera",,Varnalaya Cine Creations,/wiki/Ettuthikkum_Para,M. S. Sreekanth
40,2020,Gypsy,Raju Murugan,"Jiiva, Natasha Singh, Sunny Wayne",,Olympia Movies,/wiki/Gypsy_(2020_film),
41,2020,Indha Nilai Maarum,Arunkanth,"Ramkumar, Ashwin Kumar, Nivedhithaa Sathish",,Panthalam Cinemas,/wiki/Indha_Nilai_Maarum,"Allen Sebastian,Arunkanth V"
42,2020,Velvet Nagaram,Manojkumar Natarajan,"Varalaxmi Sarathkumar, Ramesh Thilak",,Makers Studios,/wiki/Velvet_Nagaram,"Achu Rajamani,Saran Raghavan"
43,2020,Asuraguru,A. Rajdeep,"Vikram Prabhu, Mahima Nambiar",,JSB Film Studios,/wiki/Asuraguru,"Simon K. King,Ganesh Raghavendra"
44,2020,Dharala Prabhu,Krishna Marimuthu,"Harish Kalyan, Tanya Hope, Vivek",,Screen Scene Media Entertainment,/wiki/Dharala_Prabhu,"Anirudh Ravichander,Sean Roldan,Vivek,Mervin,Inno Genga,Madley Blues,Bharath Shankar,Kaber Vasuki,Oorka"
45,2020,Kayiru,Ganesh,"S. R. Gunaa, Kavya Madhav, Cheranraj",,Skyway Pictures,,
46,2020,Thanchamada Nee Yenakku,M. Charle,"Dileep Poonthura, Binees Baskar, Tiger Khan",,RM Real Media,,
47,2020,Walter,U. Anbarasan,"Sibiraj, Shirin Kanchwala, Samuthirakani",,11:11 Productions (P) Ltd,/wiki/Walter_(2020_film),
48,2020,Sethum Aayiram Pon,Anand Ravichandran,"Srilekha Rajendran, Nivedhithaa Sathish, Avinash Raghudevan",,Wishberry Films,/wiki/Sethum_Aayiram_Pon,Shamanth Nag
49,2020,Ponmagal Vandhal,J. J. Frederick,"Jyothika, Parthiban, K. Bhagyaraj",,"2D Entertainment, Prime Video",/wiki/Ponmagal_Vandhal,Govind Vasantha
50,2020,Mamakiki,Shree KarthickG. RadhakrishnanSameer Bharath RamKarthik SivaVadivel,"Preetha Anandan, Ramesh Thilak, Dev",,"Super Talkies, ZEE5",/wiki/Mamakiki,"Jakes Bejoy,Vishal Chandrasekhar,M. S. Jones,Kalacharan,Surya Prasad"
51,2020,Penguin,Eashvar Karthic,"Keerthy Suresh, Linga, Madhampatty Rangaraj",,"Stone Bench Films, Passion Studios, Prime Video",/wiki/Penguin_(film),
52,2020,Yaadhumagi Nindraai,Gayathri Raguram,"Gayathri Raguram, Nivas Adithan, Sindhu Krishnan",,"Suja Movies, ZEE5",/wiki/Yaadhumagi_Nindraai,"Ashwin Vinayagamoorthy,Achu Rajamani"
53,2020,Cocktail,Vijaya Murugan,"Yogi Babu, Mithun Maheswaran, KPY Bala, Kawin",,"PG Media Works, ZEE5",/wiki/Cocktail_(2020_film),
54,2020,Danny,LC Santhanamoorthy,"Varalaxmi Sarathkumar, Vela Ramamoorthy",,PG Mediaworks,/wiki/Danny_(2020_film),
55,2020,Lock Up,SG Charles,"Vaibhav, Vani Bhojan, Venkat Prabhu",,Shvedh Group,/wiki/Lock_Up_(2020_film),
56,2020,4 January,,,,,,
57,2019,Devakottai Kadhal,A. R. Kashim,"Seenu, Suvitha, Ganja Karuppu",,Abbas Movie Line,,
58,2019,Maanik,Martyn,"Ma Ka Pa Anand, Suza Kumar, Yogi Babu",,Mohita Cine Talkies,/wiki/Maanik,Dharan Kumar
59,2019,Sigai,Jagadeesan Subu,"Kathir, Raj Bharath, Meera Nair",,Divine Studios,/wiki/Sigai,Ron Ethan Yohann
60,2019,Petta,Karthik Subbaraj,"Rajinikanth, Vijay Sethupathi, Trisha, Simran, Nawazuddin Siddiqui",,Sun Pictures,/wiki/Petta_(film),
61,2019,Viswasam,Siva,"Ajith Kumar, Nayanthara, Jagapathi Babu",,Sathya Jyothi Films,/wiki/Viswasam,D. Imman
62,2019,Charlie Chaplin 2,Sakthi Chidambaram,"Prabhu Deva, Nikki Galrani, Adah Sharma, Prabhu",,Amma Creations,/wiki/Charlie_Chaplin_2,Amresh Ganesh
63,2019,Kuthoosi,Siva Sakthi,"Dileepan, Amala Rose Kurian, Yogi Babu",,Sri Lakshmi Studios,/wiki/Kuthoosi,"Kannan,N. Kannan"
64,2019,Simba,Arvind Sridhar,"Bharath, Premgi Amaren, Bhanu Sri Mehra, Swathi Deekshith",,"Magic Chair Films, Yasodha Films",/wiki/Simba_(2019_film),
65,2019,Pei Ellam Paavam,Deepak Narayan,"Arasu Nadarajan, Dona Shankar, Appukutty",,Tharakan Cinemas,,
66,2019,Peranbu,Ram,"Mammootty, Anjali, Sadhana",,Shree Rajalakshmi Films,/wiki/Peranbu,Yuvan Shankar Raja
67,2019,Sagaa,Murugesh,"Saran, Kishore, Sree Raam",,Selly Cinemas,/wiki/Sagaa,Shabir
68,2019,Sarvam Thaala Mayam,Rajiv Menon,"G. V. Prakash Kumar, Aparna Balamurali, Nedumudi Venu, Vineeth",,Mindscreen Cinemas,/wiki/Sarvam_Thaala_Mayam,"A. R. Rahman,Rajiv Menon,One song,A. R. Rahman,Qutub,Kripa"
69,2019,Vantha Rajavathaan Varuven,Sundar C.,"Silambarasan, Megha Akash, Catherine Tresa, Ramya Krishnan",,Lyca Productions,/wiki/Vantha_Rajavathaan_Varuven,Hiphop Tamizha
70,2019,Dhilluku Dhuddu 2,Rambala,"Santhanam, Shritha Sivadas, Deepti, Rajendran",,Handmade Films,/wiki/Dhilluku_Dhuddu_2,Shabir
71,2019,Podhu Nalan Karudhi,Zion,"Santhosh Prathap, Adith Arun, Karunakaran, Subiksha, Anu Sithara",,AVR Productions,/wiki/Podhu_Nalan_Karudhi,A. Hariganesh
72,2019,Avathara Vettai,Star Kunjumon,"V. R. Vinayak, Meera Nair, Radha Ravi",,Star Kunjumon Productions,,
73,2019,Nethraa,A. Venkatesh,"Vinay, Thaman Kumar, Subiksha",,"Swetha Cine Arts, Vengatesh Pictures",/wiki/Nethraa,Srikanth Deva
74,2019,Urangapuli,M. S. Raj,Navin,,"CJ Pictures, Naatchiyaal Films",,
75,2019,Vaandu,Vashan Shaji,"Chinu, Guna, Shigaa, Allwin",,MM Power Cine Creations,/wiki/Vaandu,A. R. Neshan
76,2019,Kalavu,Murali Karthik,"Kalaiyarasan, Karunakaran, Abhirami Iyer",,"Spicy Cool Impressions, Big Print Pictures",/wiki/Kalavu_(2019_film),S Chinna
77,2019,Dev,Rajath Ravishankar,"Karthi, Rakul Preet Singh, Ramya Krishnan",,Prince Pictures,/wiki/Dev_(2019_film),
78,2019,Chithiram Pesuthadi 2,Rajan Madhav,"Vidharth, Ajmal, Ashok, Gayathrie, Radhika Apte",,Dream Bridge Productions,/wiki/Chithiram_Pesuthadi_2,Sajan Madhav
79,2019,Goko Mako,Arunkanth,"Ram Kumar, Dhanush, Sarah, Chaams, Delhi Ganesh",,InfoPluto Media Works,/wiki/Goko_Mako,Arunkanth
80,2019,Kadhal Mattum Vena,Sam Khan,"Sam Khan, Elizabeth, Divyanganaa Jain",,Luckky Studios,,
81,2019,To Let,Chezhiyan,"Santhosh Sreeram, Suseela, Dharun",,Zha Cinema,/wiki/To_Let_(film),
82,2019,Arandavanuku Irundadhellam Pei,M. S. Selva,"P. Saravanan, Anu Krishna",,KKP Vela Films,,
83,2019,Kanne Kalaimaane,Seenu Ramasamy,"Udhayanidhi Stalin, Tamannaah, Vadivukkarasi",,Red Giant Movies,/wiki/Kanne_Kalaimaane,Yuvan Shankar Raja
84,2019,LKG,K. R. Prabhu,"RJ Balaji, Priya Anand, Nanjil Sampath",,Vels Film International,/wiki/LKG_(film),
85,2019,Pettikadai,Esakki Karvannan,"Samuthirakani, Chandini Tamilarasan, Varsha Bollamma",,Lakshmi Creations,/wiki/Pettikadai,Mariya Manohar
86,2019,90ML,Anita Udeep,"Oviya, Anson Paul, Masoom Shankar, Monisha Ram, Bommu Lakshmi, Shree Gopika",,Nviz Entertainment,/wiki/90ML_(2019_Tamil_film),
87,2019,Adadae,Kamal Saromuni,"Aru Pazhani, Alexander Babu, Vikram Shadev, Saravanan",,Creative Horse Entertainment,,
88,2019,Dha Dha 87,Vijay Sri,"Charuhasan, Janagaraj, Saroja, Anand Kumar",,Kalai Cinemas,/wiki/Dha_Dha_87,Leander Lee Marty
89,2019,Pirivadhillai,Seethapathy Ram,"Vivin, Nandhini",,Sri Udhayam Studios,,
90,2019,Thadam,Magizh Thirumeni,"Arun Vijay, Tanya Hope, Smruthi Venkat, Vidya Pradeep",,Redhan – The Cinema People,/wiki/Thadam,Arun Raj
91,2019,Thirumanam,Cheran,"Umapathy Ramaiah, Kavya Suresh, Cheran, Sukanya",,Preniss International,/wiki/Thirumanam_(2019_film),"S. M. Subbaiah Naidu,T. G. Lingappa"
92,2019,Vilambaram,K. A. Suriyanithi,"Abhinay Vaddi, Haira, Aishwarya Rajesh, Thambi Ramaiah",,Prince Film Factory,/wiki/Vilambaram_(2019_film),S. P. Venkatesh
93,2019,Boomerang,R. Kannan,"Atharvaa, Megha Akash, Indhuja Ravichandran, Upen Patel",,"Trident Arts, M.K.R.P. Productions",/wiki/Boomerang_(2019_film),
94,2019,Kabilavasthu,Nesam Murali,"Nesam Murali, Viji",,Buddha Films,,
95,2019,Pottu,Vadivudaiyan,"Bharath, Iniya, Namitha, Srushti Dange",,Shalom Studios,/wiki/Pottu_(film),
96,2019,Sathru,Naveen Nanjundan,"Kathir, Srushti Dange, Neelima Rani, Suja Varunee",,RT Entertainment,/wiki/Sathru_(2019_film),A. T. Ummer
97,2019,Spot,VRR,"Kaushik, Agni Pawar, Nassar",,RFI,,
98,2019,Aghavan,A. P. G. Elumalai,"Kishore Ravichandran, Chirashree Anchan, Nithya Shetty",,RBK Movies,/wiki/Aghavan,C. Sathya
99,2019,Gilli Bambaram Goli,D. Manoharan,"Deepti Shetty, Naresh, Prasath Karthik",,Shri Sai Film Circuit,,
100,2019,Ispade Rajavum Idhaya Raniyum,Ranjit Jeyakodi,"Harish Kalyan, Shilpa Manjunath, Ma Ka Pa Anand, Bala Saravanan",,Madhav Media,/wiki/Ispade_Rajavum_Idhaya_Raniyum,Sam C. S.
101,2019,July Kaatril,K. C. Sundaram,"Ananth Nag, Anju Kurian, Samyuktha Menon, Paloma Monnappa, Sathish",,Kaviya Entertainments,/wiki/July_Kaatril,Joshua Sridhar
102,2019,Nedunalvaadai,Selvakannan,"Poo Ram, Mime Gopi, Elvis Alexander, Anjali Nair",,B Star Production,/wiki/Nedunalvaadai,Jose Franklin
103,2019,Agni Devi,John Paul Raj,"Bobby Simha, Ramya Nambeesan, Madhoo",,"Seatoa Studios, Jai Film Productions",/wiki/Agni_Devi,Jakes Bejoy
104,2019,Embiran,Krishna Pandi,"Rejith Menon, Radhika Preeti, Moulee",,Panchavarnam Films,/wiki/Embiran,Prasanna
105,2019,Maanasi,Navaz Suleiman,"Naresh Madeswar, Harissa Begum, Thavasi",,"MJ Films, Movie Masons",,
106,2019,Neerthirai,P. S. Dharan,"Nassar, Thalaivasal Vijay, Rohini, Ashwin Kakumanu",,N Media,/wiki/Neerthirai,Tosh Nanda
107,2019,Pattipulam,Suresh,"Veerasamar, Amitha, Yogi Babu",,Chandraa Media Vision,/wiki/Pattipulam_(film),
108,2019,Saaral,DRL,"Azhar, Sri Priyanka, Kadhal Sukumar",,Rainbow Movie Makers,,
109,2019,Settaikkaranga,M. Muthu Manickam,"Naren, Divya",,Diva Dika Films,,
110,2019,Airaa,Sarjun K. M.,"Nayanthara, Kalaiyarasan, Yogi Babu, Kulappuli Leela",,KJR Studios,/wiki/Airaa,Sundaramurthy K.S.
111,2019,Super Deluxe,Thiagarajan Kumararaja,"Vijay Sethupathi, Fahadh Faasil, Samantha, Ramya Krishnan, Mysskin",,"Kino Fist, East West Dream Works Entertainment, Alchemy Vision Workz",/wiki/Super_Deluxe_(film),
112,2019,Natpe Thunai,Parthiban Desingu,"Hiphop Tamizha, Anagha, Karu Pazhaniappan",,Avni Cinemax,/wiki/Natpe_Thunai,Hiphop Tamizha
113,2019,Ganesha Meendum Santhipom,Rateesh Erate,"Prithvi Rajan, Devika, Oviya, Singampuli",,"Hari Geetha Pictures, Skyway Pictures",/wiki/Ganesha_Meendum_Santhipom,NLB Siby
114,2019,Kuppathu Raja,Baba Bhaskar,"G. V. Prakash Kumar, Parthiepan, Palak Lalwani",,S Focuss,/wiki/Kuppathu_Raja_(2017_film),M. S. Viswanathan
115,2019,Kudimagan,Sathieshwaran,"Jaikumar, Akash, Nanditha Jennifer",,Jeevamalar Sathieshwaran Movies,/wiki/Kudimagan,SM Prashaanth
116,2019,Oru Kadhai Sollatuma,Prasad Prabhakar,Resul Pookutty,,Palmstone Media,/wiki/Oru_Kadhai_Sollatuma,"Rahul Raj,Sharreth"
117,2019,Uriyadi 2,Vijay Kumar,"Vijay Kumar, Vismaya, Sudhakar",,2D Entertainment,/wiki/Uriyadi_2,Govind Vasantha
118,2019,Gangs of Madras,C. V. Kumar,"Priyanka Ruth, Daniel Balaji, Ashok",,Thirukumaran Entertainment,/wiki/Gangs_of_Madras,"Hari Dafusia,Shyamalangan,Santhosh Narayanan,Music Supervision"
119,2019,Rocky: The Revenge,K. C. Bokadia,"Srikanth, Eshanya Maheshwari, Sayaji Shinde",,BMB Music and Magnetics,/wiki/Rocky:_The_Revenge,Bappi Lahiri
120,2019,Watchman,A. L. Vijay,"G. V. Prakash Kumar, Samyuktha Hegde, Raj Arjun",,Double Meaning Productions,/wiki/Watchman_(film),
121,2019,Zhagaram,Krish,"Nandha, Eden Kuriakose, Vishnu Bharath",,Katheer Films,/wiki/Zhagaram_(film),Dharan Kumar
122,2019,Kanchana 3,Raghava Lawrence,"Raghava Lawrence, Vedhika, Oviya, Nikki Tamboli",,Sun Pictures,/wiki/Kanchana_3,S. Thaman
